cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,79.42004,44.656055,0.34237817,0.33002514,Negative
1,56.68704,48.07313,0.30911812,0.27071157,Negative
2,86.626495,78.310814,0.21074964,0.1490056,Negative
3,194.82753,78.52634,0.2272347,0.09537503,Negative
4,220.77533,91.100136,0.3302288,0.10491896,Negative
5,140.26398,97.090675,0.2777793,0.161042,Negative
6,58.318367,109.55148,0.29461408,0.10124232,Negative
7,293.289,106.15431,0.31231543,0.15591113,Negative
8,84.02998,113.971115,0.3250648,0.17256616,Negative
9,118.038765,118.13397,0.41651875,0.13030596,Negative
10,267.72086,115.83351,0.32759148,0.18423748,Negative
11,379.5062,115.20531,0.3093612,0.10438452,Negative
12,104.60035,145.28374,0.38697916,0.06516411,Negative
13,143.3802,150.50269,0.27535117,0.14199036,Negative
14,237.75314,147.58618,0.2297576,0.10140134,Negative
15,388.08505,151.62987,0.3241894,0.10458744,Negative
16,429.78403,144.97804,0.27554402,0.13599555,Negative
17,82.70598,153.16049,0.39901015,0.2081747,Negative
18,64.83665,166.63312,0.26261762,0.1438208,Negative
19,167.21982,160.83218,0.3217276,0.13157192,Negative
20,348.60577,162.1659,0.36796448,0.2001123,Negative
21,372.04034,161.94185,0.30302536,0.2519201,Negative
22,122.385345,177.72318,0.33022857,0.071225576,Negative
23,252.95583,179.59348,0.2799142,0.14375633,Negative
24,366.05746,179.11961,0.31102744,0.15224966,Negative
25,401.3536,179.45952,0.32642677,0.0740884,Negative
26,26.493908,194.02794,0.31454483,0.19378363,Negative
27,275.10855,194.53174,0.43991983,0.21918404,Negative
28,326.97327,198.27957,0.33418524,0.08866737,Negative
29,397.52924,194.04575,0.30265445,0.11296686,Negative
30,301.13895,206.41364,0.21272324,0.14806622,Negative
31,359.5358,208.41684,0.33651543,0.1569144,Negative
32,343.2114,224.7586,0.32999536,0.19441769,Negative
33,150.42807,236.87863,0.3793905,0.06636765,Negative
34,293.06558,237.63725,0.3072857,0.09184649,Negative
35,357.90363,248.14612,0.34083274,0.12298044,Negative
36,174.68951,260.3818,0.3157076,0.18697244,Negative
37,205.51462,262.1208,0.27994546,0.17640865,Negative
38,341.631,257.63055,0.29017073,0.21540177,Negative
39,27.531946,274.09283,0.30490622,0.30760947,Negative
40,92.558716,276.93997,0.33653873,0.23603919,Negative
41,222.788,277.07056,0.26721808,0.4186782,Negative
42,248.84145,276.56174,0.33100757,0.13893661,Negative
43,174.84431,284.92178,0.28133664,0.10525978,Negative
44,267.85855,284.74902,0.33748823,0.2824481,Negative
45,290.60275,283.41565,0.28043887,0.25319567,Negative
46,450.26782,286.4867,0.30915844,0.20850338,Negative
47,34.27971,291.6147,0.2997707,0.57258034,Positive
48,148.12755,294.8013,0.3264751,0.15948568,Negative
49,229.59329,292.40588,0.3167135,0.45084918,Negative
50,331.64307,289.01782,0.4172556,0.12894502,Negative
51,358.23593,290.59076,0.27641177,0.26047918,Negative
52,394.74112,301.41928,0.3424511,0.08323015,Negative
53,227.81256,309.99994,0.37802258,0.14865094,Negative
54,45.00337,315.12292,0.22866929,0.28454533,Negative
55,364.10208,317.1636,0.29565537,0.16345514,Negative
56,428.73233,317.8953,0.34039345,0.08124251,Negative
57,453.20218,316.09906,0.3383036,0.07639165,Negative
58,103.04584,324.19672,0.34302884,0.09513301,Negative
59,138.94182,320.77902,0.32295096,0.12052946,Negative
60,212.80542,324.60977,0.21065791,0.20231079,Negative
61,86.37085,333.83435,0.3582342,0.2284425,Negative
62,274.99402,332.66544,0.3364818,0.100437485,Negative
63,322.92957,328.2722,0.29455343,0.18471816,Negative
64,26.051239,338.83572,0.3182459,0.17350975,Negative
65,146.92549,339.18594,0.346598,0.515994,Positive
66,475.38748,339.26926,0.32707164,0.26402184,Negative
67,117.580315,345.91312,0.26769853,0.3408432,Negative
68,426.5819,350.22522,0.2834446,0.14690399,Negative
69,82.35113,355.34064,0.30565655,0.31349188,Negative
70,156.496,358.41205,0.33013216,0.12320863,Negative
71,183.36276,355.83136,0.2957319,0.238781,Negative
72,208.93169,358.25937,0.31115577,0.24107118,Negative
73,253.54128,357.74335,0.37809408,0.116048865,Negative
74,413.7177,355.18927,0.3176257,0.21097004,Negative
75,129.68245,364.7885,0.27030066,0.20412801,Negative
76,388.74713,373.14804,0.2505337,0.30418158,Negative
77,73.3947,376.2504,0.32881525,0.19721621,Negative
78,331.9892,380.38202,0.3959429,0.16065152,Negative
79,99.090256,385.31168,0.35795033,0.1427831,Negative
80,137.29941,395.65973,0.34274796,0.36877385,Negative
81,35.07971,402.8347,0.35097018,0.10131241,Negative
82,177.0201,401.88016,0.34148017,0.08107087,Negative
83,330.9269,401.8951,0.34381637,0.14916117,Negative
84,358.6474,405.23477,0.20835859,0.3210216,Negative
85,454.7604,409.01004,0.3739213,0.12742992,Negative
86,220.95726,422.48767,0.21844779,0.15189302,Negative
87,314.68893,417.56998,0.30873883,0.10374971,Negative
88,101.783905,425.65994,0.28943667,0.46041957,Negative
89,188.53658,430.7426,0.3613004,0.09435183,Negative
90,258.59296,429.6633,0.3197632,0.08115692,Negative
91,297.77582,425.08566,0.27683428,0.05351908,Negative
92,49.32076,436.542,0.35502756,0.09863243,Negative
93,123.24951,433.18317,0.34148192,0.10619789,Negative
94,283.36322,435.6126,0.32448807,0.07005515,Negative
