cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,323.43613,34.265877,0.3427342,0.47273928,Negative
1,156.76463,45.707962,0.23555528,0.18868399,Negative
2,429.8047,44.13818,0.36793637,0.16930464,Negative
3,340.0447,51.169636,0.43938178,0.14799069,Negative
4,444.11002,51.806908,0.273642,0.23752178,Negative
5,366.8295,59.904213,0.3462111,0.14774819,Negative
6,428.96515,62.492016,0.2548318,0.24538259,Negative
7,197.60922,65.32998,0.30710128,0.16446704,Negative
8,270.35477,73.86773,0.324351,0.31637052,Negative
9,449.38217,74.48726,0.42729336,0.25658923,Negative
10,369.35046,91.51358,0.45134604,0.24105799,Negative
11,335.06583,98.711,0.3410372,0.13253853,Negative
12,319.1666,108.36693,0.2505603,0.18907717,Negative
13,348.94434,116.928055,0.34493485,0.13381214,Negative
14,382.03766,117.687386,0.42515168,0.1004938,Negative
15,435.24255,113.9128,0.36851865,0.09158871,Negative
16,457.73688,115.692924,0.3729121,0.33908287,Negative
17,417.61557,122.18593,0.3364951,0.09376636,Negative
18,339.5456,132.82103,0.31960425,0.23926948,Negative
19,457.90753,132.48589,0.41036952,0.4861356,Negative
20,222.70654,137.25143,0.3058954,0.45453238,Negative
21,307.7636,138.27391,0.35836825,0.23270893,Negative
22,380.80646,147.82191,0.37774602,0.19557722,Negative
23,451.77594,156.1889,0.32924592,0.1619407,Negative
24,479.32297,156.77681,0.20655812,0.12900007,Negative
25,292.40225,178.45917,0.2668189,0.25236523,Negative
26,337.48962,176.76897,0.32746744,0.40871164,Negative
27,267.47952,190.66324,0.21826945,0.21341537,Negative
28,456.7463,187.05511,0.28355002,0.24540499,Negative
29,309.10294,197.56377,0.38845724,0.10783721,Negative
30,197.59103,203.76653,0.23610388,0.8380323,Positive
31,357.92648,205.99231,0.20992447,0.3915848,Negative
32,395.07648,211.0911,0.39605793,0.26155618,Negative
33,462.54767,213.85779,0.28113472,0.2390551,Negative
34,203.62106,227.9217,0.26741692,0.37246555,Negative
35,302.6916,227.33731,0.4033617,0.12066999,Negative
36,348.64682,228.26787,0.34247318,0.09495671,Negative
37,190.2321,233.8587,0.26043358,0.5820941,Positive
38,204.19455,242.03069,0.22577201,0.4917973,Negative
39,458.19205,246.11362,0.30276424,0.1228411,Negative
40,294.49365,253.11057,0.35613304,0.20998554,Negative
41,345.9103,261.41687,0.41510138,0.15746816,Negative
42,413.31937,257.89987,0.31331235,0.11174233,Negative
43,217.75235,271.05798,0.26196072,0.4617818,Negative
44,436.07336,265.34564,0.33633,0.09405718,Negative
45,457.44574,275.15732,0.34386516,0.18245447,Negative
46,417.1005,285.58633,0.32398713,0.16843514,Negative
47,220.2009,290.01456,0.22363546,0.4345234,Negative
48,459.60043,295.2199,0.33562046,0.14884694,Negative
49,478.4973,293.4445,0.19707,0.07193079,Negative
50,245.14539,298.2544,0.34681728,0.19061626,Negative
51,270.80542,296.88467,0.30176404,0.16184075,Negative
52,348.0679,301.7343,0.2678418,0.19126235,Negative
53,214.74536,310.19254,0.2961681,0.25966242,Negative
54,292.18207,306.84387,0.35119832,0.18029946,Negative
55,389.8021,307.6671,0.2586655,0.18303035,Negative
56,428.39557,312.9702,0.32514185,0.17302036,Negative
57,284.54968,323.6319,0.3363837,0.1871919,Negative
58,228.40851,332.73926,0.35535622,0.078949146,Negative
59,461.11642,329.04755,0.346288,0.09421102,Negative
60,346.65756,343.23334,0.39378706,0.050280776,Negative
61,387.6448,340.67828,0.34622625,0.08561447,Negative
62,160.90694,348.10602,0.3473995,0.10474213,Negative
63,185.74854,349.77188,0.4320349,0.145055,Negative
64,219.59291,347.7345,0.28693512,0.12903291,Negative
65,292.13104,345.5569,0.43381357,0.13500077,Negative
66,438.9593,349.35577,0.3421591,0.19975115,Negative
67,274.336,353.8023,0.3861024,0.20824742,Negative
68,422.79633,363.0755,0.45763633,0.12345096,Negative
69,234.43883,369.384,0.33694932,0.16333553,Negative
70,282.5866,374.05273,0.3655471,0.17396483,Negative
71,386.62057,371.7898,0.32247368,0.121427484,Negative
72,315.49484,380.97018,0.33488417,0.10662519,Negative
73,337.0464,382.74503,0.2870149,0.17535132,Negative
74,169.86679,397.1542,0.4846981,0.26504862,Negative
75,249.65509,402.77774,0.35067806,0.24799778,Negative
76,301.60046,405.3481,0.3291999,0.30522436,Negative
77,331.17868,403.13138,0.31217086,0.19863486,Negative
78,138.13362,413.19714,0.31153053,0.3171216,Negative
79,218.92392,412.66974,0.40485945,0.13019776,Negative
80,266.5024,412.47852,0.23897639,0.13991141,Negative
81,316.4743,412.28064,0.28515545,0.18001257,Negative
82,204.28859,422.22855,0.35328317,0.099943556,Negative
83,234.55069,437.48346,0.2616943,0.14523512,Negative
84,273.63626,434.8789,0.35167736,0.20805967,Negative
85,250.3934,451.1085,0.33105648,0.19326894,Negative
86,213.56848,461.0323,0.2983325,0.1685788,Negative
