cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,257.70013,35.19059,0.32563522,0.07508762,Negative
1,329.12027,35.864586,0.353188,0.10691926,Negative
2,35.97122,43.400917,0.25973973,0.051686406,Negative
3,82.907135,44.501663,0.28213447,0.089258865,Negative
4,100.13455,45.061775,0.3176641,0.05841588,Negative
5,163.22859,43.509632,0.33946243,0.08428365,Negative
6,460.58728,45.01165,0.233168,0.10433286,Negative
7,57.338932,54.11374,0.3030026,0.072100975,Negative
8,148.8845,50.067116,0.33758682,0.072249025,Negative
9,275.9901,48.804207,0.28022653,0.041568708,Negative
10,75.39794,60.75058,0.27817434,0.15646666,Negative
11,186.9084,62.134235,0.2207543,0.049798477,Negative
12,260.15042,61.701416,0.22040638,0.05172019,Negative
13,364.1611,59.983906,0.32584113,0.035572138,Negative
14,424.72012,59.780308,0.26314119,0.035653777,Negative
15,43.2742,65.53974,0.4167961,0.021975301,Negative
16,59.82055,69.26113,0.3856676,0.06275759,Negative
17,116.60047,65.949,0.36673263,0.10898965,Negative
18,237.87921,64.87439,0.27884096,0.049340215,Negative
19,74.77799,78.30431,0.32399002,0.15461467,Negative
20,451.28195,83.97416,0.26194656,0.084128544,Negative
21,161.1827,90.40108,0.31761575,0.06433686,Negative
22,179.30132,89.07296,0.32940722,0.05073433,Negative
23,312.60522,91.827515,0.29848832,0.047412746,Negative
24,330.25793,92.57633,0.31195563,0.036926683,Negative
25,94.1211,102.0376,0.3414268,0.028928718,Negative
26,138.25053,97.83195,0.3447287,0.032693893,Negative
27,412.67917,99.52223,0.33554825,0.01874418,Negative
28,427.792,99.96196,0.3952774,0.021376243,Negative
29,33.838947,105.346504,0.2939753,0.042092793,Negative
30,75.17202,107.57239,0.3294098,0.03244514,Negative
31,308.97675,109.54204,0.19379085,0.045598798,Negative
32,41.72976,125.45874,0.30301237,0.034161817,Negative
33,290.2247,130.82869,0.34660152,0.029565334,Negative
34,36.742058,137.2889,0.31497544,0.031339996,Negative
35,246.11955,138.59767,0.31430006,0.02251439,Negative
36,264.8971,138.58105,0.26286897,0.033824403,Negative
37,55.77592,149.17706,0.3054549,0.03496704,Negative
38,174.48006,150.68924,0.31924295,0.083123036,Negative
39,249.84224,156.3899,0.24394234,0.0359128,Negative
40,43.86849,166.28111,0.27632013,0.0534593,Negative
41,97.61488,166.24435,0.2940336,0.035734102,Negative
42,148.46815,170.69386,0.28901988,0.035903472,Negative
43,184.65237,171.24216,0.3163294,0.02861,Negative
44,238.44168,173.82059,0.24515222,0.03487306,Negative
45,421.07944,173.81848,0.20169593,0.05252515,Negative
46,65.85837,196.89021,0.35877004,0.04930687,Negative
47,99.65697,192.79668,0.283944,0.049484927,Negative
48,122.46605,197.22142,0.23857418,0.0577912,Negative
49,146.52887,198.14796,0.28052166,0.028246675,Negative
50,282.9019,193.97714,0.30616513,0.022029381,Negative
51,356.6107,195.4752,0.22242479,0.057143357,Negative
52,81.86567,203.60826,0.34386006,0.03915492,Negative
53,436.53287,207.292,0.32761014,0.04078229,Negative
54,476.385,201.8326,0.2521366,0.03126023,Negative
55,284.12244,220.28145,0.37498683,0.027866738,Negative
56,23.395452,227.58493,0.30299687,0.021275656,Negative
57,59.55044,225.1912,0.34246495,0.032744236,Negative
58,146.76364,230.6114,0.31242132,0.020728864,Negative
59,216.48831,226.61362,0.30139688,0.022825519,Negative
60,45.11543,235.2178,0.30151802,0.02696701,Negative
61,362.1544,237.65671,0.3464885,0.019328697,Negative
62,479.10733,232.93535,0.2263597,0.06563415,Negative
63,80.66006,245.8172,0.24005896,0.051490482,Negative
64,36.883175,253.60669,0.32060584,0.03244996,Negative
65,56.519474,250.66042,0.3159778,0.05703225,Negative
66,179.86826,249.0669,0.27680334,0.03758875,Negative
67,209.01099,249.72296,0.34877044,0.049693264,Negative
68,294.46387,260.0652,0.24547258,0.03142431,Negative
69,251.0233,268.13028,0.28909248,0.025645215,Negative
70,274.4016,271.40192,0.29689968,0.02312952,Negative
71,118.09644,276.5467,0.2512837,0.031157352,Negative
72,157.38264,276.66663,0.22228472,0.042239275,Negative
73,141.96574,281.47156,0.29461092,0.03552019,Negative
74,452.80804,285.63657,0.28462142,0.063963905,Negative
75,79.41304,292.47833,0.2794648,0.073491536,Negative
76,292.13263,292.1066,0.26585037,0.044062726,Negative
77,181.94817,298.79532,0.2450932,0.04776431,Negative
78,435.37863,296.8423,0.37025967,0.06852801,Negative
79,138.1443,305.18195,0.25220904,0.053390626,Negative
80,116.09604,319.0945,0.2741292,0.039457183,Negative
81,185.07666,320.56,0.34416002,0.061629094,Negative
82,243.79408,324.7679,0.2403535,0.04733522,Negative
83,92.893745,330.5863,0.2827738,0.033625875,Negative
84,165.82585,329.50775,0.24490441,0.08699359,Negative
85,60.527794,337.03268,0.28647566,0.06509572,Negative
86,103.22511,349.65326,0.37132493,0.056476973,Negative
87,404.647,349.86136,0.27989218,0.04797932,Negative
88,478.3695,348.7943,0.16445076,0.044139303,Negative
89,142.27621,352.48666,0.32424054,0.050391775,Negative
90,222.40843,356.01114,0.28713647,0.050353028,Negative
91,270.7596,357.88397,0.28911602,0.027148135,Negative
92,209.23753,373.54657,0.35671934,0.026198411,Negative
93,198.25975,377.47546,0.34457347,0.027877351,Negative
94,178.24402,397.90018,0.25500754,0.060816433,Negative
95,292.18332,404.85748,0.2529467,0.03850482,Negative
96,317.97708,402.4444,0.2779459,0.03214703,Negative
97,33.89682,410.8779,0.23791912,0.036710016,Negative
98,384.5671,408.93393,0.35069615,0.042410593,Negative
99,148.40244,419.7881,0.31027135,0.054389678,Negative
100,301.58752,417.82846,0.31768098,0.028592467,Negative
101,330.64105,426.7017,0.30378288,0.04224404,Negative
102,64.65782,441.80554,0.32845062,0.042771224,Negative
103,259.59515,453.04727,0.2979189,0.029113842,Negative
104,158.34636,461.91217,0.31492797,0.031416688,Negative
105,77.12532,468.6567,0.2710885,0.042867944,Negative
106,124.65752,464.8351,0.27993515,0.040025625,Negative
107,93.75137,478.9784,0.20045902,0.030774483,Negative
