cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,102.01869,35.04639,0.29119566,0.04420295,Negative
1,151.59885,38.971096,0.31058437,0.032583125,Negative
2,176.616,36.02092,0.40493503,0.019660503,Negative
3,363.98465,34.830387,0.30471292,0.030066451,Negative
4,67.99052,51.92577,0.3362213,0.03781689,Negative
5,84.808655,51.73953,0.36341876,0.040443707,Negative
6,133.81227,50.699295,0.35821602,0.030153455,Negative
7,165.67308,55.170708,0.35217673,0.02353043,Negative
8,325.9132,50.071625,0.2620775,0.038560502,Negative
9,107.88419,59.98262,0.37260693,0.028951356,Negative
10,134.81664,70.043526,0.29470158,0.02956948,Negative
11,260.7007,65.99069,0.25290042,0.026895033,Negative
12,89.2771,78.74121,0.37451112,0.021743951,Negative
13,117.30104,79.425255,0.30298105,0.031756863,Negative
14,204.91014,75.99961,0.39168602,0.013396875,Negative
15,332.48355,82.60051,0.2780231,0.018685495,Negative
16,471.29922,80.745995,0.27616358,0.018750777,Negative
17,67.698906,90.64688,0.2894085,0.021471176,Negative
18,234.16997,90.18742,0.36342713,0.03557474,Negative
19,110.59076,96.29744,0.4042815,0.026409201,Negative
20,168.65433,97.76593,0.35965472,0.049109466,Negative
21,197.28535,99.280014,0.42138338,0.021343598,Negative
22,377.9924,100.06112,0.33761272,0.02661339,Negative
23,421.29965,106.282295,0.30169532,0.024193998,Negative
24,88.87122,116.86584,0.31742686,0.02492569,Negative
25,126.65889,113.80879,0.27405435,0.020860247,Negative
26,233.80249,112.65598,0.29836592,0.014522239,Negative
27,166.33072,120.9839,0.2603084,0.023001185,Negative
28,130.55064,133.02864,0.29663318,0.020197941,Negative
29,218.88533,134.6416,0.2934361,0.028797274,Negative
30,436.83737,129.585,0.3420442,0.033316843,Negative
31,46.002544,136.84315,0.27860278,0.02204292,Negative
32,90.99537,139.77597,0.2686141,0.0220684,Negative
33,340.94785,141.92018,0.3413625,0.019207872,Negative
34,365.5968,141.53426,0.28898725,0.015033801,Negative
35,110.020584,145.25279,0.2707805,0.021207144,Negative
36,166.70613,144.58829,0.30774027,0.02591643,Negative
37,193.37852,166.145,0.3336384,0.04544523,Negative
38,245.31808,163.53033,0.31053758,0.030383358,Negative
39,170.32503,172.62329,0.30204102,0.022853332,Negative
40,262.8635,175.05003,0.24807273,0.017474556,Negative
41,34.40949,178.21396,0.36025319,0.018544568,Negative
42,75.13794,181.01065,0.3249242,0.018293016,Negative
43,125.25606,181.51987,0.29410976,0.027658328,Negative
44,289.87177,179.3984,0.28621018,0.025379512,Negative
45,338.83484,180.29889,0.22470684,0.03084632,Negative
46,180.33942,189.73601,0.38495246,0.04124178,Negative
47,197.26166,186.73082,0.37435043,0.06790845,Negative
48,64.729294,198.27255,0.31701767,0.02731804,Negative
49,116.69649,204.46085,0.24414633,0.03358654,Negative
50,229.138,200.24614,0.35710663,0.026584456,Negative
51,196.91931,212.31795,0.32480565,0.02495177,Negative
52,364.53537,214.08717,0.36023408,0.027988762,Negative
53,258.66278,222.0514,0.3844467,0.024471564,Negative
54,307.132,218.40039,0.3120106,0.034695677,Negative
55,401.55112,219.18022,0.24125469,0.025366219,Negative
56,454.36386,222.5834,0.27909833,0.03666316,Negative
57,34.043434,227.62213,0.32962447,0.026568383,Negative
58,66.89874,228.52457,0.30321267,0.021926539,Negative
59,91.72561,237.84232,0.41269913,0.018936954,Negative
