cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,209.73595,35.90186,0.2714757,0.05425768,Negative
1,393.35773,34.781475,0.2712039,0.03804824,Negative
2,59.031605,45.212185,0.22786683,0.0399426,Negative
3,427.38324,41.022552,0.30507237,0.029466076,Negative
4,466.70334,50.41617,0.31451,0.03318484,Negative
5,250.74759,57.979107,0.24817155,0.036845297,Negative
6,339.52042,59.268177,0.2771828,0.03475541,Negative
7,360.96976,58.03938,0.26424512,0.03703705,Negative
8,414.4249,62.473156,0.2549001,0.03225212,Negative
9,432.4918,58.91497,0.33731788,0.029199282,Negative
10,314.0583,66.45378,0.27578077,0.034438316,Negative
11,283.3672,73.97807,0.25242305,0.03049795,Negative
12,389.2393,75.09589,0.2945716,0.028620921,Negative
13,458.5673,75.20689,0.34042302,0.027499769,Negative
14,417.59845,86.706726,0.3285658,0.02504561,Negative
15,60.472153,92.92867,0.23062885,0.023554714,Negative
16,458.55942,94.40264,0.26685572,0.026419183,Negative
17,131.48901,102.104485,0.232823,0.03739187,Negative
18,385.31332,99.10713,0.3404276,0.03638132,Negative
19,406.46902,103.290665,0.3322743,0.04051974,Negative
20,436.34763,108.26658,0.2287481,0.040790576,Negative
21,354.49033,114.63515,0.23677498,0.034592904,Negative
22,375.04483,117.3133,0.2955248,0.028515868,Negative
23,292.0755,126.22944,0.23037438,0.028991232,Negative
24,448.9461,126.124565,0.28173885,0.025498534,Negative
25,474.32855,125.96779,0.28759027,0.026248073,Negative
26,187.36328,131.91312,0.24008502,0.024166392,Negative
27,409.15262,131.16458,0.29596022,0.028893517,Negative
28,392.93665,141.63036,0.25620708,0.031784702,Negative
29,430.12918,140.80122,0.1960891,0.036338415,Negative
30,453.28088,146.46791,0.33826378,0.046689067,Negative
31,407.49866,158.00105,0.29679078,0.037650984,Negative
32,438.43445,158.7309,0.26196402,0.035743322,Negative
33,366.80347,161.71306,0.28669193,0.023885166,Negative
34,459.86673,161.72627,0.33980897,0.021425895,Negative
