cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,202.90245,33.17648,0.26586288,0.038606267,Negative
1,308.64658,36.136585,0.3418084,0.063668646,Negative
2,237.18727,45.3661,0.2643408,0.032311462,Negative
3,285.1003,57.84847,0.30183738,0.0323244,Negative
4,224.93234,64.85037,0.3236304,0.039975002,Negative
5,346.04608,65.92536,0.28839365,0.045129508,Negative
6,171.49239,83.269966,0.38307232,0.045326274,Negative
7,241.73073,85.266685,0.27100402,0.04501704,Negative
8,158.76517,99.05701,0.33226126,0.05091497,Negative
9,253.28256,98.91871,0.19692577,0.032571867,Negative
10,293.98123,102.19901,0.27875614,0.032233704,Negative
11,387.1344,101.002914,0.30157492,0.03722403,Negative
12,324.5772,109.97422,0.30513734,0.0285365,Negative
13,148.07846,114.53005,0.3764798,0.028836388,Negative
14,185.23422,113.364204,0.3680696,0.031557146,Negative
15,229.30785,117.72732,0.30560225,0.043224517,Negative
16,355.03326,116.628006,0.34904924,0.033774585,Negative
17,132.91426,133.20392,0.23632593,0.030843461,Negative
18,197.87952,130.92381,0.3889219,0.03436781,Negative
19,209.38232,132.09201,0.3652594,0.06135583,Negative
20,255.63864,128.72673,0.3352838,0.02929306,Negative
21,454.25244,130.29695,0.2882463,0.03159377,Negative
22,356.10956,142.89592,0.31608102,0.026804244,Negative
23,188.62335,150.81439,0.38598704,0.030013833,Negative
24,267.45245,150.71826,0.24916849,0.022759067,Negative
25,340.43384,150.67848,0.32556048,0.026876144,Negative
26,387.44186,145.8484,0.23372568,0.021548254,Negative
27,124.52217,152.79657,0.29896846,0.029920701,Negative
28,238.50363,163.12625,0.17857869,0.032048658,Negative
29,279.58585,167.01059,0.28436574,0.04204381,Negative
30,369.6581,166.74896,0.21117528,0.038777143,Negative
31,149.05798,170.27188,0.26525268,0.03284611,Negative
32,130.31812,176.36171,0.360818,0.02690351,Negative
33,156.79022,187.69026,0.33247352,0.033534072,Negative
34,190.06694,184.76291,0.36707515,0.021853175,Negative
35,207.21448,190.05357,0.4103509,0.034776855,Negative
36,100.21624,197.12074,0.38873306,0.020384768,Negative
37,118.108154,193.42026,0.3401493,0.027168594,Negative
38,219.43115,196.35382,0.29467902,0.062345233,Negative
39,294.05695,195.69156,0.22548327,0.041818917,Negative
40,179.15538,205.18279,0.25757504,0.037476562,Negative
41,367.16245,202.99788,0.32136396,0.025705587,Negative
42,437.07236,203.46655,0.24642822,0.020715121,Negative
43,467.8771,204.14444,0.26680613,0.032307744,Negative
44,122.95321,213.08682,0.3808198,0.036264,Negative
45,156.13661,209.17374,0.32719922,0.053072102,Negative
46,83.828705,217.09029,0.27895278,0.05000692,Negative
47,201.80045,220.17888,0.33921775,0.025490562,Negative
48,227.91722,219.75423,0.32117382,0.03671675,Negative
49,275.14102,218.237,0.29448903,0.029863719,Negative
50,368.7347,218.72498,0.31925508,0.031907167,Negative
