cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,52.258938,36.42019,0.23729007,0.060525797,Negative
1,214.70969,35.933334,0.24624114,0.063931495,Negative
2,132.69875,45.28143,0.29615915,0.0434455,Negative
3,185.14835,44.332207,0.34847814,0.042183712,Negative
4,338.29083,41.641373,0.28097957,0.04792355,Negative
5,293.70496,52.166965,0.20901437,0.051075097,Negative
6,99.05829,59.604427,0.30655074,0.05606907,Negative
7,174.8553,61.81401,0.25295568,0.04714129,Negative
8,274.26883,62.206024,0.23740797,0.05820802,Negative
9,317.80182,57.297256,0.283638,0.048257805,Negative
10,116.94011,68.733315,0.30253762,0.045857504,Negative
11,154.00116,70.08036,0.27056226,0.03909091,Negative
12,63.01269,76.279495,0.23277602,0.040967308,Negative
13,93.78174,72.861626,0.25159284,0.03207912,Negative
14,56.86703,89.229294,0.28320646,0.03947242,Negative
15,138.157,91.11681,0.2472798,0.03594497,Negative
16,310.7083,89.76137,0.23345299,0.034650046,Negative
17,213.91934,101.689735,0.2701208,0.05483244,Negative
18,342.37817,97.35791,0.23711456,0.05738636,Negative
19,75.80045,107.178406,0.3217007,0.053978786,Negative
20,210.13875,125.2402,0.2746521,0.04813338,Negative
21,396.26517,125.51742,0.17929228,0.06112173,Negative
22,426.1433,125.988174,0.22493137,0.056620643,Negative
23,43.52501,131.49199,0.28975984,0.035354394,Negative
24,187.52205,130.61615,0.33718717,0.0335193,Negative
25,89.511566,139.60715,0.27383456,0.029264472,Negative
26,146.2745,137.98871,0.30904898,0.03997493,Negative
27,249.67123,140.60754,0.29768488,0.03748414,Negative
28,179.82274,145.59631,0.32906204,0.038125325,Negative
29,194.58986,145.77266,0.30494583,0.046076987,Negative
30,399.05716,146.23131,0.2723227,0.0646234,Negative
31,98.13942,156.45392,0.26507223,0.04192829,Negative
32,130.82515,153.57558,0.26292616,0.04318621,Negative
33,217.91844,156.35727,0.29605216,0.040411696,Negative
34,180.05836,162.96361,0.28939122,0.033927094,Negative
35,377.90994,163.71994,0.24174435,0.03287442,Negative
36,117.16678,169.20895,0.2412298,0.036596894,Negative
37,65.60117,182.10173,0.26931632,0.04275635,Negative
38,41.567196,187.89157,0.32773167,0.06995166,Negative
39,259.12045,187.69872,0.33628505,0.06973073,Negative
40,92.47731,197.20224,0.25154728,0.041967113,Negative
41,145.20042,194.12209,0.33627117,0.043208756,Negative
42,302.93405,195.73106,0.23948309,0.038885698,Negative
43,415.01898,205.82007,0.26228225,0.06375772,Negative
44,54.77391,210.895,0.2648031,0.048087317,Negative
45,213.11223,212.1809,0.31642163,0.0409884,Negative
46,266.90228,209.16296,0.336696,0.0726346,Negative
47,309.94962,213.2893,0.20195325,0.059933376,Negative
48,446.09213,214.70656,0.27227628,0.06927077,Negative
49,476.1366,210.27435,0.1992353,0.042048395,Negative
50,180.28476,228.33473,0.27271628,0.03233925,Negative
51,282.46872,226.04338,0.2932297,0.04442708,Negative
52,75.445175,234.17035,0.2638642,0.044535477,Negative
53,264.80045,235.08391,0.31303737,0.038142648,Negative
54,246.62724,243.51643,0.26781875,0.052362055,Negative
55,444.17365,247.17448,0.1942863,0.050439354,Negative
56,65.28638,249.57156,0.31998453,0.04003175,Negative
57,49.42732,259.62036,0.3028412,0.029619737,Negative
58,153.20271,262.4132,0.24695358,0.035520874,Negative
59,227.29468,261.5354,0.2001955,0.029399317,Negative
60,246.19124,260.87805,0.2532784,0.023771573,Negative
61,393.65097,257.8047,0.2979394,0.031013004,Negative
62,117.63604,269.77676,0.19401541,0.044736106,Negative
63,451.30566,266.5256,0.23555896,0.049635038,Negative
64,74.378876,278.8466,0.26767647,0.05356077,Negative
65,374.58325,273.707,0.2692457,0.046078935,Negative
66,140.67293,284.7981,0.24270976,0.041213997,Negative
67,164.39499,285.87485,0.22489026,0.030862823,Negative
68,236.67776,280.74374,0.21881488,0.036330204,Negative
