cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,89.5906,35.679024,0.3624623,0.13118453,Negative
1,131.79971,36.738148,0.27147073,0.10559721,Negative
2,362.97122,33.21384,0.29294857,0.051618487,Negative
3,81.88174,55.22034,0.25814265,0.07199683,Negative
4,100.4379,54.76621,0.30546987,0.091511734,Negative
5,460.118,61.23621,0.3238272,0.11359742,Negative
6,171.6698,70.36033,0.33769128,0.068916835,Negative
7,198.38393,66.33921,0.2932095,0.07025681,Negative
8,337.62833,65.79793,0.37831464,0.07741057,Negative
9,92.95936,72.76543,0.29154766,0.07734002,Negative
10,467.24484,75.35683,0.24635516,0.08012328,Negative
11,150.43657,82.10043,0.2438768,0.06985843,Negative
12,322.88943,80.40663,0.3032916,0.045534864,Negative
13,435.46173,86.845795,0.27137628,0.0825425,Negative
14,454.64276,82.44348,0.30475798,0.07262217,Negative
15,145.55592,101.74136,0.35094106,0.069536194,Negative
16,190.1392,99.32937,0.23805836,0.057210576,Negative
17,436.0528,103.45907,0.28998864,0.087508366,Negative
18,243.8118,106.97882,0.27627933,0.08715695,Negative
19,428.52576,117.17989,0.31812122,0.09439635,Negative
20,317.1747,120.525925,0.23403426,0.07528312,Negative
21,143.77527,132.37003,0.24977544,0.07643886,Negative
22,201.95009,131.50769,0.25013322,0.05828492,Negative
23,244.18083,135.57106,0.30778927,0.056147162,Negative
24,74.33563,141.98335,0.34947386,0.07526757,Negative
25,113.06815,140.94122,0.34488016,0.07924827,Negative
26,262.59323,138.94936,0.216491,0.043319225,Negative
27,60.266983,149.44292,0.29417312,0.064595796,Negative
28,165.41739,147.16779,0.22483954,0.048553165,Negative
29,401.4975,149.41095,0.3085196,0.08692154,Negative
30,43.07671,151.80234,0.33965543,0.065050595,Negative
31,114.463486,157.64511,0.2550744,0.09058657,Negative
32,77.50421,163.76033,0.28469834,0.06890985,Negative
33,437.53033,163.62674,0.23148616,0.04863703,Negative
34,401.2115,175.47906,0.29563874,0.056159668,Negative
35,284.86594,177.16208,0.34453443,0.054855686,Negative
36,348.84863,176.88684,0.2632858,0.0588147,Negative
37,127.19447,185.32199,0.3081621,0.088112466,Negative
38,209.17706,204.15584,0.298188,0.053689875,Negative
39,419.4381,204.07318,0.2612186,0.059260424,Negative
40,450.71683,207.34377,0.23893254,0.04771625,Negative
41,53.12354,214.05252,0.32663044,0.07856673,Negative
42,70.73883,210.13782,0.2774475,0.07500607,Negative
43,345.78906,212.66809,0.32178384,0.0524451,Negative
44,363.56342,216.04445,0.31480595,0.06089037,Negative
