cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,189.2392,37.209488,0.2685242,0.029840732,Negative
1,244.62715,34.26387,0.29691342,0.0422367,Negative
2,397.89224,36.879948,0.3237673,0.0268853,Negative
3,76.17534,46.11078,0.28781584,0.019487735,Negative
4,117.82523,42.53767,0.36510634,0.028193453,Negative
5,92.2174,73.05045,0.25196978,0.035974894,Negative
6,222.76479,77.93141,0.24624029,0.027795788,Negative
7,317.79227,79.83421,0.2888894,0.032313492,Negative
8,31.357828,90.034355,0.30303982,0.018178128,Negative
9,125.332985,94.10093,0.33601865,0.029443841,Negative
10,380.08762,88.5874,0.35304505,0.027713427,Negative
11,402.27878,90.479385,0.2905402,0.029875077,Negative
12,476.10266,101.67195,0.22656317,0.025098292,Negative
13,186.70659,108.61371,0.30673233,0.025039637,Negative
14,237.05312,115.387276,0.2132727,0.023099856,Negative
15,458.16415,113.122086,0.34782815,0.015794735,Negative
16,353.8465,121.98341,0.36026308,0.024724698,Negative
17,154.12407,131.00352,0.3496413,0.0277597,Negative
18,270.14548,133.78812,0.30213088,0.026273554,Negative
19,310.2218,137.39986,0.3170441,0.03394349,Negative
20,326.7158,147.3524,0.26576248,0.023871161,Negative
21,40.953552,155.23103,0.24843255,0.03022727,Negative
22,192.58745,153.22668,0.33493456,0.025133137,Negative
23,418.3441,152.87698,0.37079203,0.017949298,Negative
24,167.64798,174.0656,0.29063687,0.024599707,Negative
25,210.41931,173.07005,0.31332675,0.017339082,Negative
26,319.07327,168.92476,0.3337779,0.026612556,Negative
27,253.8148,178.71405,0.3232222,0.019224713,Negative
28,314.45023,201.48567,0.35490012,0.020684605,Negative
29,382.3873,201.36546,0.3258367,0.04684303,Negative
30,405.00623,210.89052,0.32525516,0.02116268,Negative
31,135.02435,220.16327,0.32425782,0.02583792,Negative
32,241.70673,227.34358,0.33512032,0.019221855,Negative
33,476.1077,246.89877,0.2746204,0.026594263,Negative
34,117.784386,270.20456,0.35429555,0.017949963,Negative
35,319.82892,266.4254,0.37750587,0.02667986,Negative
36,244.81665,273.4975,0.34380838,0.024603114,Negative
37,281.2135,273.30615,0.3356628,0.026258951,Negative
38,74.36965,290.29037,0.33108684,0.030735543,Negative
39,178.13622,294.67697,0.2746306,0.020148609,Negative
40,285.64368,294.262,0.20801194,0.035448544,Negative
41,462.12177,299.41824,0.2789624,0.019804675,Negative
42,313.99118,310.56552,0.3231421,0.019104203,Negative
43,61.03612,332.20615,0.3207869,0.023057649,Negative
44,137.9365,330.82306,0.31412902,0.021553317,Negative
45,219.63904,333.0261,0.27550998,0.029213183,Negative
46,252.98201,330.87155,0.2611004,0.023572879,Negative
47,373.01608,332.13272,0.22143172,0.05684682,Negative
48,204.88678,338.4015,0.2486336,0.02841934,Negative
49,331.0118,336.7563,0.2610795,0.024429606,Negative
50,397.9448,338.91434,0.23618174,0.023950173,Negative
51,66.51976,346.6413,0.2750274,0.028234465,Negative
52,102.66954,356.31595,0.3104346,0.021451304,Negative
53,451.13388,358.34964,0.27704495,0.037984665,Negative
54,203.47314,360.31052,0.32178384,0.02196009,Negative
55,388.479,366.35278,0.31879538,0.026567698,Negative
56,219.11205,373.0314,0.21245134,0.025735984,Negative
57,254.56985,374.90802,0.32721904,0.031748697,Negative
58,202.85678,381.4674,0.36405239,0.01704678,Negative
59,473.346,378.47208,0.29212865,0.012375536,Negative
60,60.655186,386.29678,0.30254883,0.013634308,Negative
61,107.292046,391.46655,0.32375205,0.04648735,Negative
62,325.8225,394.5224,0.2719128,0.020004315,Negative
63,191.095,404.19324,0.32243255,0.02686134,Negative
64,363.91895,411.50272,0.28059378,0.031319533,Negative
65,123.208725,421.59583,0.2310777,0.027664343,Negative
66,237.43916,416.8806,0.32144958,0.017007649,Negative
67,152.8914,451.37958,0.3329982,0.021560634,Negative
68,306.6191,453.84937,0.24750713,0.020718759,Negative
69,428.27396,467.02277,0.2197187,0.018763494,Negative
70,451.31567,469.04532,0.3581223,0.02193528,Negative
71,414.4865,478.69186,0.2561111,0.012722894,Negative
72,109.400856,481.5314,0.2772028,0.019348089,Negative
