cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,138.38383,37.410206,0.26381108,0.27000472,Negative
1,172.98384,37.548386,0.29107687,0.054016676,Negative
2,278.71997,34.140236,0.3221109,0.045885522,Negative
3,210.96202,52.313717,0.189596,0.0405403,Negative
4,363.38553,56.922638,0.28524217,0.037801784,Negative
5,417.98575,63.071617,0.3320619,0.0554985,Negative
6,146.77544,67.13222,0.25557438,0.054331917,Negative
7,273.15845,65.889656,0.27860287,0.047137864,Negative
8,332.10925,69.59152,0.2984797,0.1026232,Negative
9,303.35837,92.99501,0.238893,0.0537415,Negative
10,357.0449,90.10717,0.30375195,0.10534297,Negative
11,140.65834,106.00229,0.3912133,0.02838063,Negative
12,54.720318,113.86869,0.2888061,0.030958747,Negative
13,184.67738,119.07557,0.29377744,0.045060623,Negative
14,288.45627,117.91231,0.2803748,0.039474174,Negative
15,398.36203,113.612404,0.2834932,0.038173135,Negative
16,138.34317,129.52141,0.4195553,0.023697088,Negative
17,36.985962,138.94897,0.30701825,0.03992089,Negative
18,279.16702,141.81589,0.27206227,0.052168366,Negative
19,310.21643,136.50186,0.3034464,0.10093984,Negative
20,424.3942,140.05739,0.3454102,0.06352244,Negative
21,119.42527,146.87445,0.28577477,0.06339432,Negative
22,210.0053,147.63441,0.315806,0.040486902,Negative
23,246.21709,152.95273,0.21467546,0.03890746,Negative
24,269.80017,158.86076,0.31136578,0.034901787,Negative
25,347.34546,154.93045,0.22211388,0.040945638,Negative
26,40.971333,164.3156,0.300173,0.023309477,Negative
27,106.92077,163.38411,0.26290515,0.039025333,Negative
28,385.70456,160.78658,0.36484194,0.038345214,Negative
29,432.5797,160.47041,0.33585352,0.06394498,Negative
30,458.6312,172.09991,0.3441531,0.16864595,Negative
31,249.81169,177.89796,0.29001686,0.062437374,Negative
32,189.65729,188.97202,0.21752103,0.039942607,Negative
33,222.23506,190.54501,0.27686283,0.03576002,Negative
34,434.94708,190.75674,0.27472284,0.07626162,Negative
35,467.03766,185.71239,0.3624786,0.08289999,Negative
36,63.294918,205.1049,0.26821083,0.027018884,Negative
37,90.962654,202.07971,0.38265452,0.0402736,Negative
38,434.5295,205.41672,0.24389997,0.07059371,Negative
39,127.34931,210.04797,0.28454122,0.043043487,Negative
40,282.45126,211.25978,0.3606752,0.03516305,Negative
41,400.40482,215.84682,0.29658368,0.0398122,Negative
42,94.10051,218.88023,0.34203193,0.024629653,Negative
43,25.177683,224.34872,0.32321066,0.01732957,Negative
44,70.09018,226.80927,0.3821314,0.02584242,Negative
45,433.30084,232.01788,0.29785222,0.039442122,Negative
46,470.2358,235.38129,0.29435512,0.0614228,Negative
47,194.54427,242.6531,0.32744843,0.04185309,Negative
48,213.87569,240.47597,0.24286938,0.032664157,Negative
49,253.16241,241.18436,0.30159247,0.082117714,Negative
50,35.70238,253.23523,0.30276346,0.065159105,Negative
51,73.841255,252.7034,0.2897197,0.09762343,Negative
52,138.20934,248.3845,0.30592525,0.043483682,Negative
53,106.397675,257.685,0.3868301,0.03745393,Negative
54,188.7988,261.4623,0.2590163,0.056288056,Negative
55,97.46728,274.96622,0.3536559,0.03128944,Negative
56,158.27304,275.99292,0.3288598,0.048677016,Negative
57,81.994545,283.71274,0.4248116,0.019914692,Negative
58,227.77618,284.23074,0.2400851,0.033616256,Negative
59,163.43436,290.4749,0.27856258,0.024959086,Negative
60,321.20355,293.69217,0.23205794,0.024594568,Negative
61,36.308147,303.133,0.40029722,0.015757605,Negative
62,66.53207,298.1121,0.2780015,0.041165672,Negative
63,122.705025,301.81366,0.2846161,0.02983152,Negative
64,422.3637,297.2271,0.3182571,0.049547877,Negative
65,350.50613,307.9015,0.30787292,0.045428608,Negative
66,51.481155,314.82376,0.31799108,0.030712863,Negative
67,84.489075,322.94498,0.24494836,0.024292316,Negative
68,185.2755,321.2534,0.31975052,0.02430929,Negative
69,453.7189,322.77747,0.25150734,0.020795355,Negative
70,143.23404,332.664,0.3317698,0.021558344,Negative
71,476.67212,332.05774,0.32679915,0.019340703,Negative
72,67.30883,336.75174,0.28580993,0.027215328,Negative
73,118.988914,340.19305,0.2743178,0.032913875,Negative
74,409.63596,339.99274,0.30828324,0.10645272,Negative
75,172.02536,346.25714,0.3095946,0.13997471,Negative
76,62.053596,354.49414,0.36436853,0.045824274,Negative
77,99.67618,352.94623,0.29046345,0.054011665,Negative
78,193.14027,354.44684,0.26199973,0.04856614,Negative
79,402.53598,355.0769,0.32527333,0.050229955,Negative
80,76.76721,370.72568,0.3120318,0.030318413,Negative
81,480.0963,372.13647,0.18847519,0.06557379,Negative
