cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,42.529697,35.20305,0.29731774,0.0721865,Negative
1,75.06224,37.977303,0.32893717,0.060833447,Negative
2,213.37584,35.206333,0.28555107,0.06949458,Negative
3,260.06583,42.840725,0.29820788,0.071102925,Negative
4,311.39114,43.474033,0.32613027,0.046057276,Negative
5,36.589035,50.34078,0.2672737,0.056109224,Negative
6,131.15344,49.50229,0.3382861,0.05383848,Negative
7,177.4668,49.15548,0.27712244,0.04333148,Negative
8,197.15717,52.41494,0.2707582,0.04400621,Negative
9,98.41865,61.485954,0.29415077,0.042720903,Negative
10,51.247463,70.8591,0.29261062,0.048287895,Negative
11,77.98523,69.71556,0.24302576,0.042306755,Negative
12,139.42896,65.732124,0.3269048,0.04043934,Negative
13,179.67303,70.05058,0.2809734,0.039419122,Negative
14,257.7154,69.95095,0.27703723,0.04009055,Negative
15,229.4166,75.81289,0.2744359,0.06879518,Negative
16,42.54856,85.84471,0.24009772,0.06422609,Negative
17,66.764946,85.59634,0.27620566,0.04267878,Negative
18,193.8312,87.22084,0.34505314,0.06447038,Negative
19,292.10226,85.845,0.20804952,0.061936673,Negative
20,85.49098,88.612564,0.30759802,0.05670577,Negative
21,117.54741,88.52732,0.26858345,0.048174717,Negative
22,149.34856,102.69452,0.26949412,0.06816866,Negative
23,86.81692,110.89911,0.3316021,0.03614972,Negative
24,178.39091,108.89744,0.26575977,0.036885776,Negative
25,226.50327,109.155495,0.3403217,0.04412513,Negative
26,213.10616,114.20727,0.25387263,0.038038947,Negative
27,37.873093,121.45822,0.24795415,0.037565175,Negative
28,124.33595,123.398575,0.28022146,0.037558623,Negative
29,188.4918,127.24149,0.2670932,0.051826917,Negative
30,70.91203,132.03117,0.28512412,0.08072768,Negative
31,162.8439,139.05959,0.3375879,0.10007514,Negative
32,35.685013,148.99838,0.29807156,0.035278365,Negative
33,78.378044,144.76917,0.26344964,0.04931188,Negative
34,95.57988,150.18059,0.28179163,0.035640877,Negative
35,187.76172,150.01576,0.2261019,0.038647152,Negative
36,123.95798,158.20355,0.30907494,0.036207564,Negative
37,157.80424,160.84047,0.2792172,0.046869546,Negative
38,176.97852,161.257,0.33335915,0.04162603,Negative
39,116.06518,173.6983,0.28868914,0.054080132,Negative
40,74.33894,180.3104,0.2942301,0.06496417,Negative
41,41.89102,187.53493,0.29900098,0.1049736,Negative
42,129.66946,189.07736,0.33141196,0.035705723,Negative
43,189.1723,187.30397,0.2509585,0.047210287,Negative
44,255.10474,188.96408,0.24316719,0.064455196,Negative
45,77.386604,204.63945,0.29172093,0.063104,Negative
46,92.92916,205.80779,0.3005189,0.07403099,Negative
47,117.26827,206.0406,0.29970515,0.06845742,Negative
48,149.33228,205.30713,0.18952581,0.04969859,Negative
49,213.44308,200.68292,0.27473533,0.07822164,Negative
50,65.98699,217.87442,0.36538142,0.047477458,Negative
51,44.186207,230.72037,0.2672501,0.04424372,Negative
52,101.20337,228.90079,0.27391267,0.03988501,Negative
53,436.17032,228.60579,0.23632975,0.059470944,Negative
54,121.36034,238.31473,0.24710797,0.0369556,Negative
55,154.0579,232.62862,0.2668845,0.065060236,Negative
56,61.09397,253.59473,0.27981904,0.04979449,Negative
57,291.4046,249.97392,0.25936878,0.045200855,Negative
58,43.884613,261.47775,0.327094,0.028187655,Negative
59,92.29741,263.39047,0.37970614,0.02922434,Negative
60,253.11876,264.53864,0.21923977,0.028513286,Negative
61,427.6701,276.2363,0.25119358,0.038557176,Negative
62,451.26263,274.7692,0.27010754,0.044524804,Negative
63,59.422527,286.58014,0.2487323,0.057378575,Negative
64,44.46458,299.78354,0.3015334,0.056099504,Negative
65,64.25106,302.13345,0.35951442,0.05781637,Negative
66,89.20995,316.92584,0.2685747,0.07765827,Negative
67,229.7966,349.44757,0.18827248,0.04697333,Negative
68,246.70361,353.87613,0.25406933,0.033362273,Negative
69,266.46146,361.90115,0.31294662,0.036355037,Negative
70,314.3985,360.70193,0.26384917,0.037272446,Negative
71,154.31335,368.74652,0.35730293,0.03579687,Negative
72,170.18576,369.0824,0.33430004,0.04640368,Negative
73,195.27081,373.5219,0.29470882,0.04071787,Negative
74,237.20367,382.6007,0.27818167,0.07908317,Negative
75,300.63516,377.2033,0.23564093,0.08137811,Negative
76,327.3586,383.63293,0.30788663,0.09021708,Negative
77,349.40536,383.21375,0.32528314,0.062700495,Negative
78,370.55136,379.65237,0.29422438,0.08814835,Negative
79,454.4195,380.31342,0.2285665,0.052043397,Negative
80,219.44525,391.03778,0.3244718,0.050659653,Negative
81,102.0778,397.155,0.21935154,0.058313087,Negative
82,180.26773,398.29858,0.28451648,0.07536324,Negative
83,237.49873,399.08093,0.27500728,0.07685444,Negative
84,255.47176,396.99307,0.3805382,0.07171145,Negative
85,384.61664,397.26474,0.3214625,0.075707875,Negative
86,472.95996,405.43546,0.2588403,0.062331803,Negative
87,152.7816,408.47018,0.31379426,0.061267737,Negative
88,212.74966,414.51782,0.23032008,0.07916516,Negative
89,311.05594,409.9751,0.269712,0.07294648,Negative
90,428.64667,409.83798,0.3023939,0.045800928,Negative
91,81.053185,415.80804,0.33248943,0.052960284,Negative
92,125.10403,417.45886,0.29109898,0.030441904,Negative
