cell_id,x,y,center_prob,cell_pos_prob,cell_pred
0,35.849815,41.745083,0.3600219,0.024429448,Negative
1,211.2397,46.2852,0.23636521,0.022412185,Negative
2,364.5668,40.81926,0.30078164,0.022890171,Negative
3,396.40958,47.161842,0.2866872,0.018893069,Negative
4,241.96689,53.464844,0.30660418,0.0190258,Negative
5,123.89981,60.229225,0.3168778,0.01763823,Negative
6,379.7982,65.97524,0.34030977,0.027194092,Negative
7,33.195583,90.48447,0.33729762,0.018138258,Negative
8,129.92007,89.49847,0.3650075,0.018291716,Negative
9,162.71501,102.892334,0.26460433,0.017763102,Negative
10,68.39082,114.551834,0.29107934,0.020005254,Negative
11,189.10776,116.01743,0.3111197,0.015798347,Negative
12,203.89258,118.81747,0.30186567,0.019634336,Negative
13,100.380066,129.60654,0.35757834,0.013446839,Negative
14,155.87405,128.99866,0.34599704,0.014904991,Negative
15,357.8064,132.02144,0.27932885,0.017820774,Negative
16,477.43924,131.07953,0.209834,0.015401916,Negative
17,276.65845,143.53467,0.3046909,0.02218882,Negative
18,119.509995,150.65627,0.22791031,0.021332156,Negative
19,161.66188,147.87073,0.2629346,0.01994086,Negative
20,444.51422,150.2706,0.25906006,0.024152754,Negative
21,241.77696,165.15297,0.3812947,0.020103373,Negative
22,416.41354,161.97456,0.2541354,0.01619202,Negative
23,84.450745,169.15302,0.3254675,0.012474212,Negative
24,110.999794,172.74062,0.20259865,0.028240606,Negative
25,144.87856,180.92177,0.2963096,0.01400366,Negative
26,218.26059,181.12105,0.36363456,0.019510193,Negative
27,189.48878,194.42113,0.2998175,0.019378733,Negative
28,300.95114,194.1916,0.31368068,0.019501971,Negative
29,359.61108,194.5463,0.36094376,0.02147788,Negative
30,419.9673,197.59665,0.29343492,0.024148865,Negative
31,67.196,206.26414,0.31832725,0.02680706,Negative
32,322.6108,203.46753,0.34080863,0.024556044,Negative
33,188.41458,214.53369,0.31299716,0.018185938,Negative
34,249.53229,209.42638,0.31823856,0.010951413,Negative
35,353.3164,213.60117,0.3148351,0.010720431,Negative
36,396.01147,209.48294,0.36345828,0.012796782,Negative
37,433.197,211.98163,0.35911527,0.020636238,Negative
38,212.74635,218.99149,0.34030303,0.018103492,Negative
39,275.38184,223.10014,0.29391545,0.02338526,Negative
40,479.30038,224.36107,0.2587789,0.0193066,Negative
41,324.17148,233.06776,0.3198724,0.013048954,Negative
42,281.08127,242.12689,0.30935016,0.017860303,Negative
43,364.30865,244.46733,0.23068565,0.019809922,Negative
44,100.628426,250.97276,0.2646659,0.018625258,Negative
45,337.8364,250.37846,0.340511,0.024616001,Negative
46,435.23706,253.43866,0.29759833,0.015944391,Negative
47,86.0481,258.76865,0.25038645,0.019044466,Negative
48,141.87105,269.26215,0.24572611,0.01945154,Negative
49,300.46808,268.99988,0.2849271,0.015198204,Negative
50,450.18158,268.72617,0.2633344,0.013491636,Negative
51,78.30387,292.6435,0.28774244,0.013786,Negative
52,449.57303,294.7973,0.36071533,0.029030852,Negative
53,233.359,296.90796,0.28702393,0.02429472,Negative
54,283.86,298.7837,0.35958603,0.01728802,Negative
55,34.401947,305.63104,0.2595133,0.021765713,Negative
56,292.18283,323.00275,0.26928625,0.028035618,Negative
57,332.0304,325.66727,0.41694504,0.01133768,Negative
58,418.03018,325.07278,0.3165468,0.015098488,Negative
59,436.8051,320.9179,0.32983187,0.012772649,Negative
60,475.578,323.6489,0.3269407,0.013169262,Negative
61,283.90332,340.57764,0.25340435,0.01440032,Negative
62,402.73593,348.52362,0.20113838,0.022588354,Negative
63,167.01173,357.8062,0.28267664,0.023173355,Negative
64,370.80072,353.61502,0.39142695,0.022390692,Negative
65,238.10718,363.8925,0.37436113,0.014479172,Negative
66,345.4774,364.14868,0.30649474,0.018337023,Negative
67,443.41257,364.71915,0.283617,0.05065511,Negative
68,269.56927,370.16678,0.40256083,0.011062943,Negative
69,221.71338,379.8011,0.34757176,0.010797475,Negative
70,370.26294,378.50415,0.36865756,0.013411518,Negative
71,422.04828,377.0753,0.2591904,0.016873904,Negative
72,45.59118,386.83948,0.25364,0.018046465,Negative
73,438.0751,387.01505,0.31288114,0.028623346,Negative
74,139.5017,391.75583,0.25556386,0.025259636,Negative
75,180.72238,398.03342,0.33428198,0.019272232,Negative
76,238.14096,394.6821,0.32754427,0.025048701,Negative
77,267.98276,394.51926,0.39651087,0.016288888,Negative
78,441.18427,403.41925,0.25169295,0.031024566,Negative
79,464.57025,404.51865,0.3815178,0.02146049,Negative
80,138.92572,414.61356,0.29610845,0.0150370905,Negative
81,123.508484,419.09543,0.35065058,0.015869368,Negative
82,246.46336,421.83667,0.31469345,0.02216294,Negative
83,111.05564,430.5855,0.33661658,0.021141019,Negative
84,397.82474,427.48862,0.26714778,0.023333373,Negative
85,453.10593,425.63705,0.17866741,0.026744887,Negative
86,245.62679,436.9552,0.36049524,0.022369666,Negative
87,342.64093,435.52563,0.45427725,0.014879621,Negative
88,474.0221,435.80307,0.30594307,0.024390783,Negative
89,122.40953,446.92566,0.365538,0.019616457,Negative
90,411.2314,443.6455,0.30929542,0.01274202,Negative
91,321.6309,450.5626,0.34654698,0.013600055,Negative
92,452.10895,459.0563,0.31043717,0.022859098,Negative
93,474.3033,459.12817,0.36407307,0.012619993,Negative
94,173.28374,465.86102,0.3025857,0.016718205,Negative
95,301.7796,468.17694,0.3699368,0.0154827675,Negative
96,380.81412,469.9479,0.27118862,0.01760429,Negative
